epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2017.38,0.85465,3.13546,1.41466,0.3984,0.47639,0.39193,0.34096,0.55541,2.07386,1.24354,7.09955e-05,7.09955e-05,7.09955e-05
2,4082.27,0.65002,1.82168,1.21491,0.69628,0.68285,0.71406,0.63842,0.48646,1.07789,1.143,0.000134967,0.000134967,0.000134967
3,6067.62,0.59327,1.38411,1.16869,0.80913,0.85866,0.8601,0.78364,0.43094,0.71091,1.08379,0.000191909,0.000191909,0.000191909
4,7828.58,0.55991,1.15985,1.14468,0.85022,0.9067,0.89119,0.81421,0.42796,0.56544,1.06992,0.000181369,0.000181369,0.000181369
5,9588.38,0.53782,1.03296,1.12798,0.83244,0.92754,0.91517,0.84553,0.40009,0.47628,1.03931,0.000170826,0.000170826,0.000170826
6,11357.1,0.51752,0.95619,1.1122,0.89812,0.91646,0.92721,0.86167,0.38674,0.42576,1.02206,0.000160282,0.000160282,0.000160282
7,13496.8,0.49924,0.89759,1.10098,0.90932,0.93304,0.93063,0.86787,0.37229,0.38754,1.00984,0.000149739,0.000149739,0.000149739
8,15170.8,0.49095,0.86309,1.09578,0.93021,0.9219,0.93607,0.87523,0.37269,0.36637,1.00728,0.000139196,0.000139196,0.000139196
9,16839.3,0.47707,0.82426,1.0849,0.93132,0.93071,0.94553,0.88673,0.36514,0.34645,0.99913,0.000128652,0.000128652,0.000128652
10,19169.3,0.47075,0.80032,1.08216,0.92313,0.95162,0.95548,0.89946,0.35395,0.32314,0.98906,0.000118108,0.000118108,0.000118108
11,20881.2,0.48813,0.37229,1.19944,0.92564,0.94629,0.95652,0.89625,0.37376,0.3177,0.99947,0.000107565,0.000107565,0.000107565
12,22627.2,0.46069,0.33047,1.16855,0.955,0.94934,0.97128,0.92152,0.35051,0.28607,0.98484,9.70215e-05,9.70215e-05,9.70215e-05
13,25381,0.45257,0.31086,1.16415,0.95755,0.95535,0.97652,0.92376,0.35418,0.2747,0.98678,8.6478e-05,8.6478e-05,8.6478e-05
14,27220.8,0.44187,0.29386,1.15276,0.95951,0.95663,0.97796,0.93075,0.34071,0.2623,0.97618,7.59345e-05,7.59345e-05,7.59345e-05
15,29057,0.43582,0.27861,1.14383,0.97497,0.95696,0.98224,0.93436,0.33907,0.25153,0.97298,6.5391e-05,6.5391e-05,6.5391e-05
16,31560.6,0.4289,0.26693,1.13858,0.97261,0.95989,0.98321,0.93724,0.33507,0.25012,0.97154,5.48475e-05,5.48475e-05,5.48475e-05
17,35456.1,0.42179,0.25334,1.13303,0.98039,0.95834,0.98441,0.94103,0.33177,0.24425,0.9702,4.4304e-05,4.4304e-05,4.4304e-05
18,38286.6,0.41504,0.24583,1.12485,0.97543,0.96764,0.98622,0.9423,0.33189,0.23896,0.96876,3.37605e-05,3.37605e-05,3.37605e-05
19,40380.2,0.40764,0.23523,1.1211,0.97675,0.96711,0.98588,0.94327,0.32843,0.23491,0.96664,2.3217e-05,2.3217e-05,2.3217e-05
20,42457.8,0.40309,0.22817,1.11547,0.9785,0.96598,0.98648,0.94461,0.32737,0.23271,0.96571,1.26735e-05,1.26735e-05,1.26735e-05
